part_number,material,material_family,special_type,complexity_score,specialized_tool,tolerances,price,length,width,height,diagonal,part_volume,part_surface_area,estimated_stock_volume,estimated_part_to_stock_volume_ratio,quantity,n_holes,n_slots,estimated_machining_time,setup_count,tool_changes_count
592798,416 PH,Stainless Steel,No,4,No,0.02,355,53.00000000000005,22.000000200000315,21.000000200000294,61.10646461054699,7541.223811901396,3630.7862886805624,24486.000455800717,0.3079810369812717,2,0,0,0.07541,2,6
592799,416 PH,Stainless Steel,No,4,No,0.02,355,57.999999999999964,22.00000019999999,21.000000200000002,65.49045745144856,9113.409189455262,3171.5737248782307,26796.00049879998,0.3401033370582074,2,0,0,0.10418,1,4
668515,ALUM 6061-T6,Aluminum,No,5,No,0.13,395,120.0000002,100.59991230889,85.00000020117167,178.17222690070287,431921.56609101425,79278.26359520254,1026119.1096894188,0.4209273192677859,6,15,0,0.17774,1,11
671814,ALUM 6061-T6,Aluminum,No,4,No,0.13,1625,1420.0000000001382,140.000000000015,12.000000010129426,1426.9351772244736,782722.0543888208,472545.643965777,2385600.002014218,0.3281028058886445,4,18,9,0.50145,3,7
666075,ALUM 6061-T6,Aluminum,No,6,No,0.13,2350,220.0,204.00000010000397,201.0000001,361.1329396233493,970816.737140781,210093.1188844266,9020880.008910175,0.10761885050924945,6,57,3,2.51325,2,21
666070,ALUM 6061-T6,Aluminum,No,5,No,0.13,790,400.00000020000016,400.0000002,22.0000001,566.1130631988632,3050740.9559294237,379675.4117670305,3520000.0195200015,0.8666877667646811,1,48,3,0.70951,2,21
666071,ALUM 6061-T6,Aluminum,No,4,No,0.13,750,469.0,280.0,15.000000000000057,546.4302334241764,1560374.4855162457,273271.353085255,1969800.0000000075,0.7921486879461062,1,62,0,0.31262,3,18
666072,ALUM 6061-T6,Aluminum,No,4,No,0.13,750,457.0,267.0,15.0,529.4931538745332,1307440.9543210245,293900.43470569904,1830285.0,0.7143373596576623,1,35,0,0.56604,3,14
666076,ALUM 6061-T6,Aluminum,No,4,No,0.13,640,221.54000000000005,140.0,140.0,297.11945678464076,1847364.7150408332,178591.76147804616,4342184.000000001,0.42544597719507804,1,17,0,0.2414,2,8
670057,ALUM 6061-T6,Aluminum,No,5,No,0.13,1115,198.5,192.0,108.0,296.53035257794437,330253.29825183854,164332.26580975874,4116096.0,0.08023459565856543,1,4,1,0.52558,1,11
666078,ALUM 6061-T6,Aluminum,No,4,No,0.13,395,280.0000001000001,280.0,17.0000001,396.34454715487135,988604.676381568,164421.47410201043,1332800.0083160005,0.7417502027409761,1,29,1,0.23942,3,19
666073,ALUM 6061-T6,Aluminum,No,4,No,0.13,750,457.0,267.0,15.0,529.4931538745332,1288581.737701207,290931.2078697768,1830285.0,0.7040333815232092,1,36,0,0.58047,2,14
670624,ALUM 6061-T6,Aluminum,No,4,No,0.13,320,400.0,400.0,15.000000000005002,565.8842637854494,2381994.1905168383,348172.66729421297,2400000.0000008005,0.9924975793816849,6,10,2,0.71348,2,8
666203,ALUM 6061-T6,Aluminum,No,8,No,0.13,2850,395.3373548713,284.3140148713,110.00000020000839,499.22548337687635,2013774.5555292564,422629.1557084794,12363994.587607445,0.1628741052303341,3,93,4,2.89878,2,30
668583,ALUM 6061-T6,Aluminum,No,3,No,0.13,95,68.55,30.0,30.0,80.61701123212147,17877.900515951012,9422.71157820148,61695.0,0.28977875866684516,1,1,0,0.04562,2,4
670477,ALUM 6061-T6,Aluminum,No,4,No,0.13,290,110.00000000000428,52.00000000000001,18.400000003784566,123.05510960598188,58606.239408332265,19560.7324465907,105248.00002165182,0.556839459146736,1,13,0,0.08584,1,8
669494,ALUM 6061-T6,Aluminum,No,8,No,0.13,2850,287.14319647752825,137.50000010001045,136.1518198272102,346.25826106115704,676508.4017476053,168286.4962198441,5375571.9572298415,0.12584863659721635,1,21,6,0.46341,2,18
668826,ALUM 6061-T6,Aluminum,No,4,No,0.13,4350,1310.0000001,140.0,129.5,1323.8089931187203,4138649.8221160765,993617.2933901051,23750300.001813002,0.17425673872751707,4,105,1,2.63908,3,13
668519,ALUM 6061-T6,Aluminum,No,4,No,0.13,95,121.78699912694086,99.18127018922,4.572,157.13020300595474,33941.51708592463,17417.4473737585,55225.13892389332,0.6146026564586826,1,9,0,0.10419,1,10
668509,ALUM 6061-T6,Aluminum,No,5,No,0.13,105,47.0000002,47.0000002,9.500000100000001,67.14350333055314,10413.66216613233,5043.547108719793,20985.500399500008,0.49623130103585433,1,4,4,0.0816,2,8
669922,ALUM 6061-T6,Aluminum,No,5,No,0.13,485,100.0,100.0,90.00000010000012,167.63054619609167,438955.56316652393,73221.70866332078,900000.0010000012,0.4877284029764388,1,21,1,0.2494,1,14
665713,ALUM 6061-T6,Aluminum,No,5,No,0.13,320,82.5,60.0,58.000000000000036,117.34670851796399,109722.51589308234,31520.475066884606,287100.0000000002,0.38217525563595356,1,26,0,0.09775,3,12
665799,304 SST,Stainless Steel,No,6,No,0.13,390,132.0,75.0,28.0,154.37940277122465,153600.8517688829,40447.892198011315,277200.0,0.5541156268718719,1,16,5,0.92171,1,14
671251,ALUM 5052-H32,Aluminum,No,3,No,0.25,95,321.0104076401,204.0,4.0000000000001545,380.3678243664456,128157.2113291311,106105.501068756,261944.49263433175,0.489253314854134,3,15,0,0.21006,2,9
671166-LH,ALUM 6061-T6,Aluminum,No,6,No,0.13,1950,275.50000009999997,270.5,31.000000200000002,387.33899889825193,465138.39090203826,206305.53885166364,2310205.2657430996,0.2013407197184368,4,39,5,0.13185,2,14
671171-LH,ALUM 6061-T6,Aluminum,No,6,No,0.13,1950,275.5,270.5,31.000000000017604,387.33899881112035,416023.6446214686,206281.00931725427,2310205.250001312,0.18008081516619892,3,39,3,0.13325,2,14
669915,ALUM 6061-T6,Aluminum,No,5,No,0.13,720,118.0,118.0,67.00000000000293,179.8249148477496,299691.7426767144,59159.54045301912,932908.0000000407,0.3212446915201727,1,39,4,0.20597,1,12
659263,ALUM 6061-T6,Aluminum,No,3,No,0.13,585,310.0,310.0,7.440000001316,438.469330284365,443367.1744602545,198674.0160178757,714984.0001264677,0.6201078267231587,13,2,0,0.30759,2,10
672030,ALUM 6061-T6,Aluminum,No,4,No,0.13,2450,1050.0000000000498,400.00000000003075,10.000000098297386,1123.6547512479513,2843131.8766052327,898169.9627212889,4200000.0412854245,0.6769361544422944,2,48,10,1.13137,3,18
672416,ALUM 6061-T6,Aluminum,No,5,No,0.13,2570,1050.0000000000489,400.0000000000397,10.000000108461277,1123.654751248044,2924535.870646831,744139.9591122443,4200000.045554349,0.6963180568872656,2,92,4,1.20957,3,20
672655,ALUM 6061-T6,Aluminum,No,2,No,0.13,900,1055.0,35.0,8.0,1055.6107237045292,292080.01156518864,93537.59011738085,295400.0,0.9887610411820875,2,9,6,0.4697,4,9
673078,ALUM 6061-T6,Aluminum,No,3,No,0.13,550,165.00000000000236,30.000000000002355,15.000000001960185,168.37458240500473,70619.18269351788,17510.566165303793,74250.00000970981,0.9511001034920253,4,8,0,0.07554,1,8
671747,CRS,Carbon Steel,No,3,No,0.25,180,82.00000000000003,70.00000000000003,47.0,117.61377470347598,25114.874830438024,18182.6259519383,269780.00000000023,0.09309390922395286,2,2,2,0.0311,1,2
664257,ALUM 6061-T6,Aluminum,No,3,No,0.13,1350,560.0,400.0,10.000000000000158,688.2586723027905,2231567.5065849554,468058.92436943203,2240000.0000000354,0.9962354940111251,3,12,0,1.16398,2,14
673673,ALUM 5052-H32,Aluminum,No,2,No,0.25,385,241.48709739950013,156.2581827772,1.2000000000001076,287.6353210147678,27389.04442747544,46535.17117667376,45281.202004547966,0.6048656664353683,5,5,0,0.12196,1,3
673489,CRS,Carbon Steel,No,4,No,0.25,815,400.0000002000001,230.00000020000002,20.0000001,461.84412982736944,271403.0388767482,275909.3026275102,1840000.0117200008,0.14750165062392864,5,8,0,0.07541,1,5
673910,ALUM 5052-H32,Aluminum,No,2,No,0.25,385,231.0,131.45,1.200000000000079,265.78476724598045,23819.971243581916,40536.25287925206,36437.940000002396,0.6537134438330034,5,5,0,0.10991,1,3
397915,ALUM 5052-H32,Aluminum,No,3,No,0.13,550,195.0,188.0,11.9888,271.1323133184977,59749.48433141495,76183.93607251959,439509.408,0.1359458597332573,5,14,0,0.06285,2,6
672017,ALUM 5052-H32,Aluminum,No,5,No,0.25,230,128.0,97.0,63.7,172.77352227699706,45664.44790272704,64292.92223453759,790899.2000000001,0.05773738031689378,12,8,2,0.05124,1,6
672652,ALUM 5052-H32,Aluminum,No,5,No,0.25,240,112.0,48.70001799234599,40.0,128.51339133512437,19402.260672019205,27203.384937978786,218176.08060571004,0.08892936667554846,6,0,1,0.05449,2,3
673844,CRS,Carbon Steel,No,4,No,0.25,265,183.0,98.0,50.0,213.5251741598634,147398.2469303021,53589.179626496305,896700.0,0.1643785512772411,5,2,2,0.08092,2,2
673848,CRS,Carbon Steel,No,3,No,0.25,315,183.0,175.0,150.0,294.3025653982649,302404.4245616865,109275.88774048601,4803750.0,0.06295174073623451,5,2,2,0.09165,2,2
673849,CRS,Carbon Steel,No,3,No,0.25,370,298.4,183.0,150.0,380.83009334872685,437897.6245616868,155921.0877404861,8191080.0,0.05346030371595526,5,2,2,0.10873,2,2
673854,ACETAL,Plastic,No,4,No,0.13,750,160.0000002,135.0000001,58.0000002,217.23029280972762,346749.3193210455,61471.03304078535,1252800.006814,0.27677946793987085,2,4,0,0.11198,1,5
673855,ACETAL,Plastic,No,2,No,0.13,210,275.0,40.0,4.0,277.9226511099806,42610.39831411915,24342.953996772834,44000.0,0.9684181435027079,4,4,0,0.06827,2,7
674271,STEEL,Carbon Steel,No,4,No,0.13,510,447.0,80.0,22.0,454.6350184488652,177599.11023081606,121692.15786430439,786720.0,0.2257462759696157,4,16,0,0.07597,1,4
673856,STEEL,Carbon Steel,No,7,No,0.13,1650,600.000000200004,322.0,143.00000000000523,695.7966658730167,813530.531279852,556513.9216788119,27627600.009210397,0.029446297579545092,4,28,4,0.25123,3,9
676440,ALUM 6061-T6,Aluminum,No,3,No,0.13,425,100.0,52.000000000000014,20.0,114.47270417003348,89572.61295569254,22559.850070775534,104000.00000000003,0.8612751245739665,8,7,0,0.08653,1,8
674235,ALUM 6061-T6,Aluminum,No,3,No,0.13,420,87.0,44.7,15.0,98.95498976807588,54657.65101559848,14013.841650119599,58333.5,0.9369856260227567,3,7,0,0.06916,1,10
674323,ALUM 6061-T6,Aluminum,No,3,No,0.13,420,87.0,44.7,15.0,98.95498976807588,53045.52957877861,14522.875277093694,58333.5,0.9093493374952405,3,5,4,0.06363,1,9
675069,ALUM 6061-T6,Aluminum,No,3,No,0.13,115,68.55,30.0,30.0,80.61701123212147,17843.139830183187,9428.021501311905,61695.0,0.2892153307428995,6,1,0,0.04346,2,3
673721,ALUM 5052-H32,Aluminum,No,3,No,0.25,455,196.5,86.0,1.200000000000079,214.49869463472265,12310.493361878911,21602.11948167284,20278.800000001334,0.6070622207368336,2,7,0,0.08918,1,5
673722,ALUM 5052-H32,Aluminum,No,3,No,0.25,390,79.5,64.5,1.2000000000000863,102.38134595716156,5362.5564046124755,9339.391636981007,6153.300000000443,0.8714927607319795,2,4,0,0.04546,1,2
673724,304 SST,Stainless Steel,No,4,No,0.25,460,240.4,120.7006751809,0.8000000000000623,269.0008419859037,9134.296461087632,23553.068774290685,23213.1538507925,0.39349657180580766,12,7,0,0.54861,1,6
673860,304 SST,Stainless Steel,No,7,No,0.13,1650,80.0,68.0,29.00000010000207,108.92658080468752,49921.65877594845,17560.433752005323,157760.00054401124,0.3164405337462046,2,12,1,0.17983,3,14
673731,ALUM 5052-H32,Aluminum,No,2,No,0.25,725,854.2100000000003,91.0,12.5,859.134433077851,141949.92520499826,192845.10885795232,971663.8750000003,0.14608953657456722,3,10,5,0.06181,1,5
673333,ALUM 6061-T6,Aluminum,No,3,No,0.13,725,365.0,191.00000000000023,4.000000000000107,411.97330010572296,260850.95990364923,140355.8128573999,278860.0000000078,0.9354190629837263,4,9,0,0.22891,2,11
673412,ALUM 6061-T6,Aluminum,No,3,No,0.13,625,365.0,29.530000000000115,4.000000000000107,366.21444660198756,29440.931121563426,20484.42827041582,43113.80000000132,0.6828656050165498,4,8,0,0.13324,2,8
627300,STEEL,Carbon Steel,No,2,No,0.13,85,76.0,38.0,38.0,93.08061022576076,16108.749426396826,11506.410269659496,109744.0,0.14678478483012125,3,2,3,0.0481,2,2
675021,ALUM 5052-H32,Aluminum,No,3,No,0.25,465,206.29999999999998,77.75,1.2000000000000934,220.4681212783381,15061.497256085817,26302.122451106752,19247.790000001496,0.7825052775453517,5,9,0,0.08904,1,3
675016,304 SST,Stainless Steel,No,3,No,0.25,425,68.26730786732,34.5,0.8,76.49389075901063,1441.4637987727826,3807.9894166449362,1884.1776971380323,0.7650360159566112,5,5,0,0.12406,1,4
674949,ALUM 6061-T6,Aluminum,No,5,No,0.13,1275,261.0,230.0000001,31.000000000020002,349.25921612178144,457278.1987631501,139081.57606635062,1860930.0008103005,0.24572563103611553,5,38,3,0.571,2,19
675859,DELRIN,Plastic,No,3,No,0.13,425,116.81216691557,84.946156231508,3.0,144.46429246709636,18469.95425893785,13650.746554965797,29768.233741653,0.6204585202881517,5,5,0,0.07293,2,7
676212,ALUM 6061-T6,Aluminum,No,4,No,0.13,875,273.49,230.02151427950002,20.0,357.91993117376717,303041.80634305306,64087.00792921944,1258171.6788060092,0.2408588680287545,5,15,1,0.29668,2,15
674629,ALUM 5052-H32,Aluminum,No,3,No,0.25,1825,1598.0,809.0,2.0,1791.113899225842,2252416.11508058,2266069.0707933074,2585564.0,0.8711507876349532,1,10,0,4.44753,4,6
676829,ALUM 6061-T6,Aluminum,No,6,No,0.13,655,184.15000020000008,41.2750002,17.780000100000002,189.5546797594985,63680.58805456093,24242.921713621865,135142.0699866905,0.4712121699840215,3,9,1,0.16486,1,10
676839,ALUM 6061-T6,Aluminum,No,3,No,0.13,275,37.0000001,27.2,17.0000001,48.96774459580511,5416.4083114581235,3320.0172188271486,17108.80014688,0.3165860998408981,3,4,0,0.06278,3,5
676840,ALUM 5052-H32,Aluminum,No,2,No,0.25,85,33.0,11.367928,2.3,34.97884770848211,744.8496609562033,933.2099252683911,862.8257351999999,0.8632677846396756,3,0,2,0.02712,1,4
675836,ALUM 6061-T6,Aluminum,No,5,No,0.13,795,420.0,343.5,18.000000000000206,542.8777486690719,854315.8841198827,223070.06800805067,2596860.00000003,0.32898033937904736,3,59,13,0.67792,2,16
676757,ALUM 6061-T6,Aluminum,No,4,No,0.13,685,780.0,640.0,6.35,1008.979842464655,2980378.9216687647,965776.2958769352,3169920.0,0.9402063527372189,2,33,0,2.16483,2,11
676769,ALUM 6061-T6,Aluminum,No,4,No,0.13,485,485.0,485.0,6.35,685.9229712584352,1263816.5049722826,411262.69000720565,1493678.75,0.8461099851439157,4,8,0,0.82905,2,4
676770,ALUM 5052-H32,Aluminum,No,3,No,0.25,595,985.0,430.0,3.0,1074.7716036442348,1260591.4782696785,850728.5798851661,1270650.0,0.9920839556681057,4,0,4,1.6772,2,4
674060,ALUM 5052-H32,Aluminum,No,3,No,0.25,875,306.0,144.0,1.500000000000106,338.1926226279929,62669.7980662433,85155.90284299802,66096.00000000467,0.9481632483998861,5,8,0,0.22491,2,7
659728,ALUM 6061-T6,Aluminum,No,3,No,0.13,85,345.3000000000003,215.3,5.000000000000167,406.95353543125805,314441.8292129439,134999.64071999132,371715.45000001276,0.8459207956326086,9,17,0,0.34277,2,8
1000006664,ALUM 6061,Aluminum,No,4,No,0.13,695,140.00000020000002,90.00000000000001,18.00000000000001,167.403703829993,65890.78519041666,20339.244331068883,226800.0003240002,0.2905237438107888,1,0,0,0.16445,2,6
1000006665,ALUM 6061,Aluminum,No,4,No,0.13,695,140.00000010000002,90.00000000000001,18.00000000000001,167.40370374636282,65820.09935562917,20348.66910902965,226800.00016200021,0.2902120780803119,1,0,0,0.16449,2,6
1000006666,ALUM 6061,Aluminum,No,4,No,0.13,695,140.00000010000002,90.00000000000001,18.00000000000001,167.40370374636282,65749.41352084145,20358.09388699042,226800.00016200021,0.2899004121423171,1,0,0,0.16453,2,6
674201,ALUM 6061-T6,Aluminum,No,6,No,0.13,1450,268.75000009999997,266.25000009999997,31.000000200000002,379.5742682524725,369098.4893247148,144504.35550620584,2218195.328469437,0.16639584647371614,4,47,7,0.66215,3,22
675138,TITANIUM,Titanium,No,4,No,0.13,990,61.6,46.0,19.0,79.1931815246742,39382.4195123543,11513.63425831189,53838.4,0.7314931259538601,5,5,1,0.41705,2,8
674926,304 SST,Stainless Steel,No,2,No,0.25,280,202.5,150.99999538137,0.5,252.60146200125953,1711.4828330444525,7305.634865114717,15288.749532363714,0.11194393821558335,5,0,0,0.24592,1,5
674826,304 SST,Stainless Steel,No,2,No,0.25,280,202.5,140.24999538137,0.5,246.32612773409627,1671.1703330444498,7133.634865114691,14200.312032363714,0.1176854655894681,5,0,0,0.24062,1,5
674819,ALUM 5052-H32,Aluminum,No,3,No,0.25,465,196.5,86.0,1.200000000000079,214.49869463472265,11883.382794051084,20909.39431578695,20278.800000001334,0.5860002955821006,5,7,0,0.08189,1,3
674937,ALUM 5052-H32,Aluminum,No,3,No,0.25,290,109.5,64.5,1.2000000000000015,127.090282870092,6897.619634876677,11961.49572992614,8475.30000000001,0.8138496141583977,5,4,0,0.0521,1,2
676848,ALUM 6061-T6,Aluminum,No,4,No,0.13,825,369.4399305868,351.6122499676,10.0,510.1147288985661,485597.837296554,113016.87410271843,1298996.0522149873,0.37382549120802583,2,6,0,0.25159,1,5
676849,STEEL,Carbon Steel,No,3,No,0.13,620,535.0000000000002,20.00000000000091,20.0,535.7471418495859,165737.71001915212,36752.64081678598,214000.00000000984,0.7744752804632921,4,2,0,0.44696,2,4
676850,STEEL,Carbon Steel,No,3,No,0.13,670,455.0000000000002,20.00000000000086,20.0,455.87827322652726,140023.77414950862,31726.09257104207,182000.00000000792,0.7693613964258381,2,2,0,0.36762,2,4
674413,ALUM 5052-T6,Aluminum,No,7,No,0.13,1450,268.75,245.0,31.0000001,364.9829619395952,380178.11843516305,145449.02772425162,2041156.2565843752,0.18625625412497548,1,43,5,0.64542,3,22
672310,ALUM 5052-T6,Aluminum,No,3,No,0.13,685,430.0,375.0,5.0,570.569890548038,693715.4183779913,289775.59395510936,806250.0,0.8604222243447954,4,21,0,0.65932,2,12
673308,304 SST,Stainless Steel,No,3,No,0.25,45,31.900000000000002,26.0,4.796,41.432011971421325,182.71139297493767,987.1402930284297,3977.8024000000005,0.04593274743233541,5,0,2,0.03298,1,3
677292,304 SST,Stainless Steel,No,2,No,0.25,650,100.0,100.0,1.2000000000000002,141.4264473144963,11941.659870440591,20438.60983495161,12000.000000000002,0.9951383225367159,13,2,0,0.46596,1,4
661331,ALUM 6061-T6,Aluminum,No,5,No,0.13,1950,435.03000019999996,435.03000019999996,30.000000100000072,615.9563313693787,943784.4040391351,183529.3954799145,5677533.051145483,0.1662314240246862,3,13,0,0.69988,2,12
659414,ALUM 6061-T6,Aluminum,No,5,No,0.13,1480,396.0000000000132,386.50000009999997,12.000000175658194,553.4819329314429,757528.2539560373,336801.13953783084,1836648.02736045,0.41245151094340254,3,17,2,0.3635,2,13
659416,ALUM 6061-T6,Aluminum,No,5,No,0.13,1400,396.0,386.5000000000183,17.0,553.6129062802042,606627.2250795041,381848.48953091167,2601918.0000001234,0.23314617335345514,3,36,2,1.05601,2,17
660341,ALUM 5052-H32,Aluminum,No,3,No,0.25,650,359.996017178,286.0,70.60458146424,465.1646367768764,125182.16899456491,251886.33094343432,7269367.282790768,0.017220504085811782,3,8,0,0.05761,2,2
674837,304 SST,Stainless Steel,No,2,No,0.25,425,287.5,7.5,0.5,287.5982440836522,1072.0893233455533,4580.138265833174,1078.125,0.994401691219064,25,0,0,0.16436,1,2
680410,ALUM 6061-T6,Aluminum,No,3,No,0.13,412.5,47.0,22.8,2.0,52.276572190609436,1524.411714535751,2255.062675899109,2143.2000000000003,0.7112783289173902,2,2,1,0.03437,1,6
677008,316 SST,Stainless Steel,No,4,No,0.13,475,111.37900010000004,28.5750251569918,28.575000199999998,118.48351937053745,20001.30730834535,6724.647366854842,90944.44526608355,0.2199288505177628,8,0,0,0.05232,1,4
1000007075,ALUM 6061-T6,Aluminum,No,3,No,0.13,250,38.100000200000004,38.100000200000004,4.267200200000001,54.05024540209675,2795.962125832074,2633.213850530674,6194.3105473541345,0.45137583988687063,1,6,0,0.05428,2,7
682853,ALUM 6061-T6,Aluminum,No,3,No,0.13,145,31.0,30.00000000000031,10.0,44.28317965096927,4043.4145696195033,2213.2111951416728,9300.000000000095,0.4347757601741357,3,4,0,0.05452,1,7
1000006769,ALUM 6061-T6,Aluminum,No,3,No,0.13,1855,50.00000000000001,35.0000001,8.200000099999999,61.58116602208829,13179.375353984633,4891.4491753803,14350.000216,0.9184233557913023,1,4,0,0.06652,2,7
598442,O1,Carbon Steel,No,3,No,0.02,410,70.0,63.5,9.525,94.98934479719291,40620.961257555406,12360.700821965533,42338.625,0.9594303371343639,5,8,2,0.16818,2,15
597999,HRS,Carbon Steel,No,3,No,0.02,680,78.0,50.43176589999235,30.227073611099534,97.67824215700475,6758.976978323111,5452.699406571509,118903.56661535102,0.056844190386552244,1,2,2,0.05606,2,4
677818,CRS,Carbon Steel,No,4,No,0.25,1950,1566.8,747.5000000000001,17.000000000002046,1736.0609119498083,2173348.221894581,2187207.0389751988,19910111.0000024,0.10915801634126093,3,10,0,0.30607,5,3
598330,420 PH,Stainless Steel,No,3,No,0.02,210,19.0,19.0,2.0500000000000007,26.948144648565325,111.40087549629385,318.4465192502532,740.0500000000003,0.1505315525927894,2,1,0,0.06509,2,4
682749,ALUM 6061-T6,Aluminum,No,2,No,0.13,225,92.0,15.0,6.000000000000002,93.40770846134703,7289.811028036138,4378.782662050991,8280.000000000002,0.8804119599077459,4,4,0,0.0465,1,6
1037127,ALUM 6061,Aluminum,No,6,No,0.13,2480,420.0,360.00000000000006,6.0000000000000036,553.2052060492563,439802.16715155507,220815.63807643508,907200.0000000007,0.4847907486238478,2,4,0,1.07451,1,7
1037120,ALUM 6061,Aluminum,No,6,No,0.13,1980,420.0,360.00000000000006,6.000000000000008,553.2052060492563,416473.04652067233,195017.65731361188,907200.0000000014,0.45907522764624303,2,4,0,0.80365,1,7
1037994,304 SST,Stainless Steel,No,5,No,0.13,1580,305.0000002,63.5000002,63.5000001,317.94575034131213,748747.1262499464,96682.77174681093,1229836.2566167,0.6088185498041522,1,18,0,1.86549,2,15
1038007,316 SST,Stainless Steel,No,3,No,0.13,880,65.0000001,38.0000002,38.0000001,84.33860347314271,41157.64500366948,12166.446431715098,93860.0008854,0.4385003687984365,1,2,0,0.1001,2,9
1038058,ALUM 6061-T6,Aluminum,No,8,No,0.13,3680,200.00000019999996,180.0000002,80.00000020000002,280.71337728010036,753026.3139023676,135928.59329746035,2880000.0132799996,0.26146746889933326,1,26,0,0.26272,2,15
1037635,ALUM 6061-T6,Aluminum,No,3,No,0.13,580,83.0,80.0,54.000000000000014,127.29886095327012,47975.649218379294,19091.39199945083,358560.0000000001,0.13380089585670257,1,5,0,0.04689,2,4
1037776,ALUM 6061-T6,Aluminum,No,4,No,0.13,210,135.0,56.00000000000004,15.000000000000002,146.92174787961108,111949.5743320737,21795.406046481425,113400.0000000001,0.9872096501946525,1,8,0,0.15309,1,8
1034296,316 SST,Stainless Steel,No,4,No,0.13,880,63.50000000000014,63.50000000000014,29.95000000000001,94.66521272357674,31285.410924772874,9861.575235445962,120765.88750000058,0.2590583448059596,1,4,0,0.41689,1,9
